n_threads,tamanho_entrada,t_io,t_processamento,t_total
1,16,0.000063,0.000047,0.000110
1,16,0.000054,0.000047,0.000101
1,16,0.000054,0.000046,0.000100
1,16,0.000055,0.000046,0.000101
1,16,0.000051,0.000047,0.000098
1,16,0.000054,0.000050,0.000104
1,16,0.000053,0.000046,0.000099
1,16,0.000051,0.000046,0.000097
1,16,0.000056,0.000046,0.000101
1,16,0.000054,0.000047,0.000101
1,32,0.000084,0.000162,0.000246
1,32,0.000082,0.000163,0.000244
1,32,0.000081,0.000163,0.000244
1,32,0.000082,0.000164,0.000245
1,32,0.000096,0.000163,0.000259
1,32,0.000083,0.000163,0.000247
1,32,0.000096,0.000196,0.000292
1,32,0.000108,0.000214,0.000322
1,32,0.000108,0.000221,0.000329
1,32,0.000111,0.000215,0.000325
1,64,0.000278,0.000825,0.001103
1,64,0.000280,0.000819,0.001099
1,64,0.000284,0.000825,0.001108
1,64,0.000274,0.000818,0.001092
1,64,0.000284,0.000823,0.001108
1,64,0.000278,0.000818,0.001095
1,64,0.000275,0.000818,0.001094
1,64,0.000278,0.000818,0.001096
1,64,0.000289,0.000820,0.001109
1,64,0.000282,0.000817,0.001099
1,128,0.000923,0.003194,0.004117
1,128,0.000644,0.002175,0.002819
1,128,0.000644,0.002213,0.002857
1,128,0.000648,0.002225,0.002873
1,128,0.001093,0.002263,0.003356
1,128,0.000638,0.002175,0.002814
1,128,0.000644,0.002182,0.002826
1,128,0.000641,0.002173,0.002814
1,128,0.000662,0.002345,0.003007
1,128,0.000647,0.002179,0.002826
1,256,0.002534,0.008621,0.011154
1,256,0.002994,0.008743,0.011737
1,256,0.003014,0.008650,0.011664
1,256,0.002513,0.008656,0.011169
1,256,0.002561,0.008615,0.011176
1,256,0.002733,0.008906,0.011639
1,256,0.002749,0.008888,0.011636
1,256,0.002722,0.008904,0.011626
1,256,0.002738,0.008874,0.011612
1,256,0.002591,0.008662,0.011253
1,512,0.010268,0.034340,0.044608
1,512,0.010369,0.034318,0.044688
1,512,0.010334,0.034369,0.044702
1,512,0.010331,0.034501,0.044833
1,512,0.010562,0.034539,0.045102
1,512,0.011308,0.036270,0.047578
1,512,0.010890,0.034804,0.045694
1,512,0.010656,0.035132,0.045788
1,512,0.010620,0.034485,0.045105
1,512,0.010248,0.035622,0.045871
1,1024,0.042777,0.137303,0.180079
1,1024,0.043176,0.136823,0.179999
1,1024,0.042967,0.136583,0.179550
1,1024,0.042917,0.137218,0.180135
1,1024,0.043118,0.136161,0.179280
1,1024,0.045172,0.155937,0.201108
1,1024,0.042564,0.135912,0.178476
1,1024,0.042499,0.135643,0.178143
1,1024,0.042541,0.135557,0.178098
1,1024,0.042870,0.136248,0.179118
1,2048,0.193448,0.549727,0.743175
1,2048,0.182540,0.580010,0.762550
1,2048,0.191269,0.581774,0.773043
1,2048,0.192216,0.536457,0.728673
1,2048,0.186935,0.535024,0.721959
1,2048,0.193053,0.543739,0.736792
1,2048,0.191730,0.544786,0.736516
1,2048,0.200201,0.578732,0.778933
1,2048,0.190159,0.539791,0.729950
1,2048,0.190632,0.541926,0.732558
1,4096,0.776537,2.192040,2.968578
1,4096,0.818722,2.177496,2.996218
1,4096,0.756177,2.177436,2.933613
1,4096,0.766404,2.251542,3.017947
1,4096,0.765101,2.144632,2.909733
1,4096,0.763695,2.146078,2.909774
1,4096,0.758397,2.164949,2.923346
1,4096,0.762965,2.144283,2.907248
1,4096,0.776623,2.148963,2.925586
1,4096,0.760967,2.147420,2.908388
1,8192,3.121502,8.950746,12.072248
1,8192,11.367831,8.603176,19.971007
1,8192,12.724251,8.582213,21.306464
1,8192,3.178092,8.557107,11.735199
1,8192,3.158887,8.567476,11.726363
1,8192,3.114584,8.677727,11.792311
1,8192,3.038633,8.561125,11.599758
1,8192,10.575650,8.557425,19.133074
1,8192,10.868946,8.544427,19.413374
1,8192,3.195011,8.615771,11.810782
2,16,0.014358,0.000089,0.014446
2,16,0.000050,0.000085,0.000135
2,16,0.000052,0.000087,0.000139
2,16,0.000075,0.000110,0.000185
2,16,0.000052,0.000088,0.000140
2,16,0.000060,0.000055,0.000114
2,16,0.000052,0.000089,0.000141
2,16,0.000049,0.000088,0.000138
2,16,0.000056,0.000054,0.000110
