n_threads,tamanho_entrada,t_io,t_processamento,t_total
1,16,0.000075,0.000264,0.000339
1,16,0.000054,0.000263,0.000316
1,16,0.000055,0.000263,0.000319
1,16,0.000055,0.000264,0.000319
1,16,0.000054,0.000263,0.000317
1,16,0.000052,0.000262,0.000315
1,16,0.000055,0.000267,0.000322
1,16,0.000051,0.000262,0.000313
1,16,0.000059,0.000264,0.000323
1,16,0.000054,0.000263,0.000317
1,32,0.000083,0.001042,0.001125
1,32,0.000082,0.001046,0.001129
1,32,0.000083,0.001042,0.001125
1,32,0.000087,0.001043,0.001130
1,32,0.000090,0.001044,0.001133
1,32,0.000093,0.001141,0.001234
1,32,0.000097,0.001246,0.001343
1,32,0.000109,0.001374,0.001483
1,32,0.000110,0.001377,0.001487
1,32,0.000109,0.001376,0.001485
1,64,0.000278,0.005507,0.005785
1,64,0.000280,0.005508,0.005788
1,64,0.000293,0.005606,0.005899
1,64,0.000279,0.005514,0.005793
1,64,0.000275,0.005503,0.005779
1,64,0.000299,0.005557,0.005855
1,64,0.000280,0.005498,0.005778
1,64,0.000279,0.005511,0.005790
1,64,0.000281,0.005500,0.005781
1,64,0.000292,0.005520,0.005812
1,128,0.000905,0.021549,0.022454
1,128,0.000660,0.015743,0.016403
1,128,0.000766,0.015016,0.015782
1,128,0.000646,0.014994,0.015640
1,128,0.000661,0.015054,0.015715
1,128,0.000670,0.015037,0.015708
1,128,0.000664,0.014998,0.015662
1,128,0.000654,0.014998,0.015653
1,128,0.000653,0.015100,0.015753
1,128,0.000667,0.015084,0.015751
1,256,0.002536,0.060118,0.062654
1,256,0.002536,0.060079,0.062616
1,256,0.002545,0.060122,0.062668
1,256,0.002822,0.060141,0.062963
1,256,0.002678,0.063390,0.066068
1,256,0.002692,0.066136,0.068828
1,256,0.002650,0.066342,0.068993
1,256,0.002857,0.066190,0.069047
1,256,0.002996,0.066161,0.069157
1,256,0.002528,0.059937,0.062466
1,512,0.011069,0.264016,0.275086
1,512,0.010394,0.244430,0.254825
