n_threads,tamanho_entrada,t_io,t_processamento,t_total
1,16,0.000077,0.000243,0.000320
1,16,0.000094,0.000136,0.000230
1,16,0.000090,0.000139,0.000229
1,16,0.000092,0.000215,0.000308
1,16,0.000090,0.000212,0.000302
1,16,0.000091,0.000215,0.000306
1,16,0.000090,0.000213,0.000303
1,16,0.000090,0.000208,0.000298
1,16,0.000094,0.000219,0.000313
1,16,0.000089,0.000215,0.000304
1,32,0.000129,0.000332,0.000461
1,32,0.000124,0.000333,0.000457
1,32,0.000124,0.000333,0.000456
1,32,0.000128,0.000349,0.000477
1,32,0.000128,0.000331,0.000459
1,32,0.000123,0.000335,0.000458
1,32,0.000133,0.000332,0.000465
1,32,0.000123,0.000331,0.000454
1,32,0.000125,0.000336,0.000462
1,32,0.000127,0.000341,0.000468
1,64,0.000271,0.000798,0.001069
1,64,0.000279,0.000808,0.001087
1,64,0.000240,0.000717,0.000957
1,64,0.000249,0.000717,0.000966
1,64,0.000241,0.000719,0.000959
1,64,0.000247,0.000760,0.001006
1,64,0.000240,0.000759,0.000999
1,64,0.000245,0.000716,0.000962
1,64,0.000239,0.000720,0.000959
1,64,0.000249,0.000731,0.000980
1,128,0.000745,0.002324,0.003069
1,128,0.000756,0.002337,0.003093
1,128,0.000767,0.002338,0.003104
1,128,0.000834,0.002300,0.003134
1,128,0.000753,0.002368,0.003121
1,128,0.000758,0.002333,0.003091
1,128,0.000795,0.002332,0.003127
1,128,0.000782,0.002391,0.003173
1,128,0.000761,0.002324,0.003085
1,128,0.000757,0.002328,0.003085
1,256,0.002899,0.008772,0.011671
1,256,0.002937,0.008798,0.011735
1,256,0.002960,0.008745,0.011705
1,256,0.002907,0.008813,0.011720
1,256,0.003032,0.008747,0.011779
1,256,0.002898,0.008765,0.011663
1,256,0.002932,0.008785,0.011717
1,256,0.003035,0.008981,0.012016
1,256,0.003305,0.009136,0.012441
1,256,0.002912,0.008784,0.011696
1,512,0.011375,0.034556,0.045931
1,512,0.011332,0.035552,0.046884
1,512,0.011348,0.034492,0.045840
1,512,0.011401,0.034490,0.045892
1,512,0.011419,0.034814,0.046232
1,512,0.011405,0.034804,0.046210
1,512,0.011451,0.034774,0.046224
1,512,0.011335,0.035243,0.046578
1,512,0.011374,0.035070,0.046444
1,512,0.011500,0.035323,0.046823
1,1024,0.045314,0.135705,0.181019
1,1024,0.046302,0.135991,0.182293
1,1024,0.045597,0.135796,0.181393
1,1024,0.045835,0.135539,0.181374
1,1024,0.045628,0.135253,0.180880
1,1024,0.046559,0.135374,0.181933
1,1024,0.046155,0.137003,0.183158
1,1024,0.047399,0.144411,0.191810
1,1024,0.047162,0.141569,0.188731
1,1024,0.051973,0.140281,0.192254
1,2048,0.201056,0.570174,0.771230
1,2048,0.200320,0.565460,0.765780
1,2048,0.217791,0.557854,0.775645
1,2048,0.211496,0.558751,0.770247
1,2048,0.222576,0.537313,0.759889
1,2048,0.209047,0.541974,0.751021
1,2048,0.201219,0.540373,0.741591
1,2048,0.210583,0.539031,0.749614
1,2048,0.218954,0.597611,0.816565
1,2048,0.199078,0.541616,0.740695
1,4096,0.833062,2.183851,3.016913
1,4096,0.858300,2.164580,3.022880
1,4096,0.919295,2.274393,3.193688
1,4096,0.985814,2.219068,3.204882
1,4096,0.995714,2.152583,3.148297
1,4096,0.884636,2.164706,3.049342
1,4096,0.957082,2.366081,3.323163
1,4096,0.932620,2.372775,3.305395
1,4096,0.866388,2.151181,3.017569
1,4096,0.834993,2.263218,3.098212
1,8192,3.486001,8.627134,12.113136
