n_threads,tamanho_entrada,t_io,t_processamento,t_total
1,16,0.000414,0.001222,0.001635
1,16,0.000430,0.001244,0.001674
1,16,0.000444,0.001204,0.001648
1,16,0.000421,0.001204,0.001624
1,16,0.000418,0.001230,0.001648
1,16,0.000456,0.001206,0.001662
1,16,0.000407,0.001225,0.001632
1,16,0.000549,0.001313,0.001862
1,16,0.000405,0.001232,0.001637
1,16,0.000411,0.001203,0.001614
1,32,0.000570,0.004856,0.005425
1,32,0.000585,0.004853,0.005438
1,32,0.000561,0.004826,0.005387
1,32,0.000355,0.003219,0.003574
1,32,0.000438,0.003496,0.003934
1,32,0.000367,0.003205,0.003572
1,32,0.000372,0.003222,0.003594
1,32,0.000354,0.003219,0.003573
1,32,0.000360,0.003217,0.003576
1,32,0.000362,0.003221,0.003583
1,64,0.000770,0.013007,0.013777
1,64,0.000905,0.013031,0.013935
1,64,0.000559,0.009611,0.010170
1,64,0.000566,0.009611,0.010177
1,64,0.000579,0.009406,0.009985
1,64,0.000386,0.006400,0.006785
1,64,0.000371,0.006402,0.006773
1,64,0.000391,0.006465,0.006856
1,64,0.000385,0.006409,0.006794
1,64,0.000429,0.006417,0.006846
1,128,0.001293,0.025562,0.026855
1,128,0.000803,0.015745,0.016548
1,128,0.000664,0.014866,0.015530
1,128,0.000677,0.014954,0.015631
1,128,0.000729,0.015203,0.015931
1,128,0.000708,0.015075,0.015783
1,128,0.000675,0.014878,0.015553
1,128,0.000741,0.014768,0.015509
1,128,0.000823,0.015177,0.016000
1,128,0.000739,0.015020,0.015759
1,256,0.002757,0.059253,0.062010
1,256,0.002624,0.059353,0.061977
1,256,0.002718,0.059237,0.061956
1,256,0.002645,0.059378,0.062022
1,256,0.002588,0.059241,0.061829
1,256,0.002621,0.059448,0.062069
1,256,0.002604,0.059089,0.061692
1,256,0.002738,0.059172,0.061910
1,256,0.002634,0.059168,0.061802
1,256,0.002534,0.059244,0.061778
1,512,0.010041,0.233925,0.243966
1,512,0.010038,0.234687,0.244725
1,512,0.010758,0.234156,0.244914
1,512,0.010196,0.234155,0.244351
1,512,0.010076,0.234526,0.244602
1,512,0.010173,0.234320,0.244493
1,512,0.010172,0.234218,0.244390
1,512,0.010134,0.234502,0.244636
1,512,0.010099,0.234777,0.244876
1,512,0.010153,0.233760,0.243913
1,1024,0.040100,0.933554,0.973654
1,1024,0.040545,0.933218,0.973764
1,1024,0.040323,0.933436,0.973760
1,1024,0.040109,0.933327,0.973436
1,1024,0.040336,0.933118,0.973454
1,1024,0.040353,0.933412,0.973764
1,1024,0.040158,0.932998,0.973156
1,1024,0.040189,0.932895,0.973084
1,1024,0.040457,0.933451,0.973908
1,1024,0.040506,0.933570,0.974076
1,2048,0.193271,3.727562,3.920833
1,2048,0.173508,3.731059,3.904567
1,2048,0.179316,3.749560,3.928876
1,2048,0.190457,3.730513,3.920970
1,2048,0.183563,3.729522,3.913085
1,2048,0.181270,3.729477,3.910748
1,2048,0.187414,3.729151,3.916565
1,2048,0.188455,3.728340,3.916795
1,2048,0.185118,3.733136,3.918254
1,2048,0.182970,3.728462,3.911432
1,4096,0.757803,14.915390,15.673193
1,4096,0.812308,14.917031,15.729339
1,4096,0.821078,14.940868,15.761946
1,4096,0.801180,14.992320,15.793500
1,4096,0.764984,15.036263,15.801247
1,4096,0.776494,14.963695,15.740189
1,4096,0.767156,15.067885,15.835041
1,4096,0.764839,15.078178,15.843018
1,4096,0.766168,16.011665,16.777833
1,4096,0.764359,15.984354,16.748713
1,8192,3.171220,62.201471,65.372690
1,8192,3.393546,63.491576,66.885122
1,8192,3.240901,62.610666,65.851567
1,8192,3.126947,62.236932,65.363879
1,8192,3.215352,62.516301,65.731652
1,8192,3.226742,61.956043,65.182785
1,8192,3.141455,63.006940,66.148394
1,8192,3.147392,62.826237,65.973629
1,8192,3.227429,62.135186,65.362615
1,8192,3.215483,61.793111,65.008594
